Date,Department,EmployeeID,EmployeeName,Shift,UPH,Units,HoursWorked
2026-04-17,Picking,EMP401,Marcus Webb,Day,52.00,416,8.00
2026-04-17,Picking,EMP402,Devon Tran,Day,44.50,356,8.00
2026-04-17,Packing,EMP403,Riley Chen,Day,58.80,470,8.00
2026-04-17,Packing,EMP404,Jamie Carter,Day,53.40,427,8.00
2026-04-17,Receiving,EMP405,Casey Patel,Night,46.60,373,8.00
2026-04-17,Receiving,EMP406,Jordan Kim,Night,49.80,398,8.00
2026-04-18,Picking,EMP401,Marcus Webb,Day,51.70,414,8.00
2026-04-18,Picking,EMP402,Devon Tran,Day,43.80,350,8.00
2026-04-18,Packing,EMP403,Riley Chen,Day,58.20,466,8.00
2026-04-18,Packing,EMP404,Jamie Carter,Day,52.90,423,8.00
2026-04-18,Receiving,EMP405,Casey Patel,Night,46.10,369,8.00
2026-04-18,Receiving,EMP406,Jordan Kim,Night,49.40,395,8.00
2026-04-19,Picking,EMP401,Marcus Webb,Day,51.10,409,8.00
2026-04-19,Picking,EMP402,Devon Tran,Day,43.10,345,8.00
2026-04-19,Packing,EMP403,Riley Chen,Day,57.60,461,8.00
2026-04-19,Packing,EMP404,Jamie Carter,Day,52.10,417,8.00
2026-04-19,Receiving,EMP405,Casey Patel,Night,45.50,364,8.00
2026-04-19,Receiving,EMP406,Jordan Kim,Night,48.90,391,8.00
2026-04-20,Picking,EMP401,Marcus Webb,Day,50.70,406,8.00
2026-04-20,Picking,EMP402,Devon Tran,Day,42.40,339,8.00
2026-04-20,Packing,EMP403,Riley Chen,Day,57.10,457,8.00
2026-04-20,Packing,EMP404,Jamie Carter,Day,51.40,411,8.00
2026-04-20,Receiving,EMP405,Casey Patel,Night,44.90,359,8.00
2026-04-20,Receiving,EMP406,Jordan Kim,Night,48.30,386,8.00
2026-04-21,Picking,EMP401,Marcus Webb,Day,50.30,402,8.00
2026-04-21,Picking,EMP402,Devon Tran,Day,41.80,334,8.00
2026-04-21,Packing,EMP403,Riley Chen,Day,56.70,454,8.00
2026-04-21,Packing,EMP404,Jamie Carter,Day,50.80,406,8.00
2026-04-21,Receiving,EMP405,Casey Patel,Night,44.40,355,8.00
2026-04-21,Receiving,EMP406,Jordan Kim,Night,47.90,383,8.00
2026-04-22,Picking,EMP401,Marcus Webb,Day,49.90,399,8.00
2026-04-22,Picking,EMP402,Devon Tran,Day,41.10,329,8.00
2026-04-22,Packing,EMP403,Riley Chen,Day,56.20,450,8.00
2026-04-22,Packing,EMP404,Jamie Carter,Day,50.10,401,8.00
2026-04-22,Receiving,EMP405,Casey Patel,Night,43.80,350,8.00
2026-04-22,Receiving,EMP406,Jordan Kim,Night,47.40,379,8.00
2026-04-23,Picking,EMP401,Marcus Webb,Day,49.60,397,8.00
2026-04-23,Picking,EMP402,Devon Tran,Day,40.60,325,8.00
2026-04-23,Packing,EMP403,Riley Chen,Day,55.80,446,8.00
2026-04-23,Packing,EMP404,Jamie Carter,Day,49.70,398,8.00
2026-04-23,Receiving,EMP405,Casey Patel,Night,43.30,346,8.00
2026-04-23,Receiving,EMP406,Jordan Kim,Night,47.00,376,8.00
