Date,Department,EmployeeID,EmployeeName,Shift,UPH,Units,HoursWorked
2026-04-17,Picking,NEW001,Alex Johnson,Day,54.0,432,8.0
2026-04-18,Picking,NEW001,Alex Johnson,Day,50.5,404,8.0
2026-04-19,Picking,NEW001,Alex Johnson,Day,47.0,376,8.0
2026-04-17,Packing,NEW002,Jordan Smith,Day,48.0,384,8.0
2026-04-18,Packing,NEW002,Jordan Smith,Day,45.0,360,8.0
2026-04-19,Packing,NEW002,Jordan Smith,Day,42.0,336,8.0
2026-04-17,Receiving,NEW003,Jamie Carter,Day,43.5,348,8.0
2026-04-18,Receiving,NEW003,Jamie Carter,Day,41.0,328,8.0
2026-04-19,Receiving,NEW003,Jamie Carter,Day,38.5,308,8.0
2026-04-17,Picking,NEW004,Riley Chen,Night,44.0,330,7.5
2026-04-18,Picking,NEW004,Riley Chen,Night,46.0,345,7.5
2026-04-19,Picking,NEW004,Riley Chen,Night,47.5,356,7.5
2026-04-17,Packing,NEW005,Sam Rivera,Night,40.5,304,7.5
2026-04-18,Packing,NEW005,Sam Rivera,Night,42.0,315,7.5
2026-04-19,Packing,NEW005,Sam Rivera,Night,43.5,326,7.5
2026-04-17,Receiving,NEW006,Taylor Brooks,Day,36.0,288,8.0
2026-04-18,Receiving,NEW006,Taylor Brooks,Day,37.0,296,8.0
2026-04-19,Receiving,NEW006,Taylor Brooks,Day,38.0,304,8.0
2026-04-17,Picking,NEW007,Casey Patel,Day,52.0,416,8.0
2026-04-18,Picking,NEW007,Casey Patel,Day,52.5,420,8.0
2026-04-19,Picking,NEW007,Casey Patel,Day,52.0,416,8.0
2026-04-17,Packing,NEW008,Morgan Lee,Day,46.0,368,8.0
2026-04-18,Packing,NEW008,Morgan Lee,Day,46.0,368,8.0
2026-04-19,Packing,NEW008,Morgan Lee,Day,46.5,372,8.0
2026-04-17,Receiving,NEW009,Avery Stone,Night,34.0,255,7.5
2026-04-18,Receiving,NEW009,Avery Stone,Night,33.0,248,7.5
2026-04-19,Receiving,NEW009,Avery Stone,Night,32.0,240,7.5
2026-04-17,Picking,NEW010,Cameron Price,Day,49.0,392,8.0
2026-04-18,Picking,NEW010,Cameron Price,Day,50.0,400,8.0
2026-04-19,Picking,NEW010,Cameron Price,Day,51.0,408,8.0
2026-04-17,Packing,NEW011,Devon Tran,Night,39.0,292,7.5
2026-04-18,Packing,NEW011,Devon Tran,Night,37.5,281,7.5
2026-04-19,Packing,NEW011,Devon Tran,Night,36.0,270,7.5
2026-04-17,Receiving,NEW012,Jordan Kim,Day,41.0,328,8.0
2026-04-18,Receiving,NEW012,Jordan Kim,Day,42.0,336,8.0
2026-04-19,Receiving,NEW012,Jordan Kim,Day,43.0,344,8.0
